owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,total_commits,bus_factor
phpspec,phpspec2,53,48,28786,"Ruby/PHP/JavaScript",Moderate,0,0
christianhujer,aceunit,3,9,32069,"Makefile/Java/C/C++",Very Low,0,0
pernicius,DevilTrac,0,0,19247,"PHP",Not Available,0,0
perl11,cperl,267,44,37921,"DIGITAL Command Language/XS/Perl/Makefile/DTrace/Turing/JavaScript/Shell/C/Prolog/Assembly/Yacc/PHP/Batchfile/TeX/Emacs Lisp/Roff/Terra/Perl 6/Objective-C/C++/CSS",Low,0,0
boo-lang,boo,129,81,297167,"PowerShell/GAP/Vim script/Emacs Lisp/Pascal/Makefile/Batchfile/Visual Basic/PHP/Lex/Shell/Java/C/Boo/Python/Roff/ANTLR/C#/HTML/C++",Low,0,0
MythTV,mythtv,130,141,2415283,"PowerShell/QMake/Makefile/HTML/Perl/XSLT/Objective-C/Objective-C++/JavaScript/Shell/Perl 6/C/Python/Prolog/PAWN/CSS/PHP/C++",High,0,0
mpv-player,mpv,4871,42,139048,"Prolog/JavaScript/Lua/Shell/C/Python/Ruby/Objective-C/HLSL/C++",Very High,3181,18
LordZen,groink,0,0,7355,"Lua/Shell/C/Objective-C/Perl",Inactive,0,0
snortadmin,snort3,31,32,302387,"Ruby/Shell/HTML/C/M4/CMake/Lua/Makefile/Objective-C/C++",Moderate,0,0
nant,nant,104,121,86285,"JavaScript/XSLT/HTML/Makefile/CSS/C#",Very Low,0,0
sonatype,nexus,864,4,21541,"",Very Low,10232,6
ccnet,CruiseControl.NET,215,19,558111,"PowerShell/Groff/NSIS/HTML/Pascal/XSLT/Visual Basic/Shell/JavaScript/ASP/ActionScript/Java/C/Assembly/C++/CSS/C#/Batchfile",Inactive,0,0
mirabilos,mksh,0,0,44958,"Shell/C/Perl/Roff/Makefile/C++",Moderate,0,0
maandree,jash,0,0,1497,"Shell/Java",Inactive,0,0
videolabs,libdsm,96,28,8490,"Ruby/Shell/C/M4/HTML/JavaScript/Makefile/CSS/C++",Low,0,0
mikma,egssapi,0,0,2530,"Erlang/C",Inactive,0,0
greasemonkey,greasemonkey,1669,145,8030,"Makefile/JavaScript/Shell/CSS/HTML",Not Available,0,0
hibernate,hibernate-orm,2012,58,713174,"Groovy/HTML/Shell/Java/GAP",High,0,0
BatooOrg,BatooJPA,201,47,86964,"Shell/Java/GAP",Very Low,0,0
