owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,PAI,total_commits,bus_factor
xzilla,phppgadmin,5,79,288081,"Shell/JavaScript/PLpgSQL/CSS/PHP/HTML",Not Available,361,2
python,cpython,4481,7,973140,"Objective-C/Shell/PowerShell/Makefile/Common Lisp/HTML/Assembly/Visual Basic/Roff/DTrace/Batchfile/PLSQL/C/C++/CSS/M4/Python",Very High,77809,100
ruby,ruby,1632,53,1160825,"Scheme/Shell/JavaScript/Perl 6/Makefile/HTML/Assembly/C++/Emacs Lisp/M4/Objective-C/XSLT/Yacc/Scilab/Perl/C/Batchfile/GDB/CSS/Ruby/Ragel/Python",Very High,44025,11
bakkdoor,fancy,75,89,2974,"Perl/JavaScript/CSS/C/Fancy/Ruby",Inactive,2665,1
OpenELEC,OpenELEC.tv,4930,50,29138,"Shell/CMake/ApacheConf/Makefile/C/Python",Moderate,18376,1
mpc-hc,mpc-hc,181,32,304285,"Objective-C/Inno Setup/Shell/JavaScript/Batchfile/C/C++/CSS/HTML/Python",Moderate,7098,3
leavittx,rockbox,0,0,3291608,"Shell/Java/Emacs Lisp/PHP/Assembly/Visual Basic/Perl/Lua/C/Ruby/C++/Vim script/Python",High,13,1
TortoiseGit,TortoiseGit,199,43,368268,"Objective-C/Shell/JavaScript/Makefile/HTML/Visual Basic/CSS/C#/C++/C/Batchfile/Python",High,8799,2
andk,cpanpm,87,64,22781,"Prolog/Makefile/Perl/Perl 6/HTML",Moderate,4752,1
puppetlabs,puppet,6425,14,280581,"Shell/Pascal/Batchfile/Emacs Lisp/Makefile/Ruby/Puppet/HTML",Very High,14470,100
arnaudsj,monit,1,8,79995,"C/Shell/Perl/PHP",Not Available,0,0
MailScanner,MailScanner,32,13,46705,"Perl/PHP/Groff/Shell/HTML/Python",Very Low,402,1
mkj,dropbear,44,92,112143,"Shell/Roff/Perl/HTML/Perl 6/C/Assembly/C++/Makefile/M4/TeX",Moderate,1080,1
clientside,amplesdk,150,41,76473,"CSS/JavaScript/XSLT/PHP",Inactive,1752,1
